conversation_id,agent_id,llm_cost,status,call_duration,date
conv_1001ktqe8j4tff7rzrs72ed1ygzs,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,1.2329519999999998,done,152,2026-06-10 00:17:37
conv_8801ktnh8t2bfkyv2hgv00nn5j14,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.0,done,7,2026-06-09 06:31:42
conv_2101ktnewkzqe52t0aj44vv6rtag,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.7694648500000001,done,138,2026-06-09 05:50:05
conv_1201ktn5y68yfadt2atc6vkhy170,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.19168485,done,82,2026-06-09 03:13:39
conv_6101ktn2vs90extvkks6qyx4nwn9,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.2444001,done,89,2026-06-09 02:19:55
conv_4601ktjvvzqgf1evg2k80kdjnbcr,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.6084274,done,179,2026-06-08 05:39:12
conv_8801ktjgtvmkekzs21nz61wwnjef,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.40474315,done,106,2026-06-08 02:26:21
conv_0301ktdxcn1temt802p4rd137xd7,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.0,done,18,2026-06-06 07:29:35
conv_4801ktdh33r0ez5sze2t92zb8fn1,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.7073807999999999,done,170,2026-06-06 03:54:39
conv_3701ktd9yf53fcb8rzthb6gc485b,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.0269317999999999,done,30,2026-06-06 01:49:47
conv_6701ktb1qrwefvkr14j2ea9f669s,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.0,done,7,2026-06-05 04:47:50
conv_8201ktazrw32eg2b2yadk64h3h0k,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.13820765,done,33,2026-06-05 04:13:29
conv_6101ktavdgd9f3vt4k6e9scekyyv,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.2171735999999999,done,89,2026-06-05 02:57:22
conv_1601ktardzspfhgrb87wfjwmf1vs,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.0,done,7,2026-06-05 02:05:13
conv_4801ktahze2netaazxb2y4qr4k4m,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.0,done,13,2026-06-05 00:12:24
conv_0601kt5q050zex0vrkbq6a4qq8jx,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.0,done,10,2026-06-03 03:03:58
conv_3401kt33hkdset5892s4xbth020z,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,2.1229351500000004,done,184,2026-06-02 02:45:30
conv_9401kt0m8yk0e89sahwqk85wvhap,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.0,done,6,2026-06-01 03:40:09
conv_5801kt0fw7p3ftjtttkcf77an3g3,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,0.2448963999999999,done,120,2026-06-01 02:23:18
conv_4201kt0d64v8eekrjp51hdb85h9g,agent_9401k3fs5t8pfzqvbsjkcs6xwnze,1.26395465,done,299,2026-06-01 01:36:17
