conversation_id,agent_id,llm_cost,status,call_duration,date
conv_4701kqe40s1ge5ktqe4rp0xt7te0,agent_01k0s4qchvea89jm5thv1t9mc6,0.0,done,12,2026-04-30 02:38:20
conv_3701kqe2syfxe43bjhw0nhqfqbth,agent_01k0s4qchvea89jm5thv1t9mc6,0.0,done,14,2026-04-30 02:17:08
conv_4601kqe03ym7eaas7qfj3p00stb6,agent_01k0s4qchvea89jm5thv1t9mc6,0.19343519999999997,done,99,2026-04-30 01:30:10
conv_4201kqdwzcaef2gbdzmcdzhe4bs5,agent_01k0s4qchvea89jm5thv1t9mc6,0.2531613,done,214,2026-04-30 00:35:15
conv_6601kqdwqm03e32rbeevsyqwv3gn,agent_01k0s4qchvea89jm5thv1t9mc6,0.18850124999999998,done,120,2026-04-30 00:31:00
conv_4801kqdwhkx8em987ef8prkbag4a,agent_01k0s4qchvea89jm5thv1t9mc6,0.16876860000000002,done,59,2026-04-30 00:27:44
conv_4301kqdv9rfmf8mry5yhcrn74mk2,agent_01k0s4qchvea89jm5thv1t9mc6,0.5912049499999998,done,272,2026-04-30 00:05:58
conv_5501kqc4zdfzff3vq51k4ffs8txj,agent_01k0s4qchvea89jm5thv1t9mc6,0.12813955,done,91,2026-04-29 08:16:35
conv_1701kqc3qc5afperze8r0vr64s10,agent_01k0s4qchvea89jm5thv1t9mc6,0.1889405,done,143,2026-04-29 07:54:43
conv_1801kqc2v6a6fnpbe4ymg7tea3za,agent_01k0s4qchvea89jm5thv1t9mc6,0.39910010000000007,done,124,2026-04-29 07:39:20
conv_6901kqc08f6yeewrxsjcrvhrqpyj,agent_01k0s4qchvea89jm5thv1t9mc6,0.16100385,done,90,2026-04-29 06:54:09
conv_7001kqbvs8b2ewwbjrbxzbn9anba,agent_01k0s4qchvea89jm5thv1t9mc6,0.13246170000000002,done,97,2026-04-29 05:35:56
conv_7001kqbvnm1hf32akxnd1ajpkd1c,agent_01k0s4qchvea89jm5thv1t9mc6,0.12208770000000001,done,129,2026-04-29 05:33:57
conv_3301kqbv03w6e1z9e5eeb244kv4v,agent_01k0s4qchvea89jm5thv1t9mc6,0.89449955,done,408,2026-04-29 05:22:13
conv_5301kqbtyk3efvjt14jcwz5jtxh5,agent_01k0s4qchvea89jm5thv1t9mc6,0.16210180000000002,done,89,2026-04-29 05:21:23
conv_8501kqbtswzbfjhtd4dat83a334y,agent_01k0s4qchvea89jm5thv1t9mc6,0.08467585,done,87,2026-04-29 05:18:49
conv_7201kqbtp3tsem4swg4gyqsky3eb,agent_01k0s4qchvea89jm5thv1t9mc6,0.2964313999999999,done,177,2026-04-29 05:16:45
conv_7601kqbtf0j4e4gsfd597r87yyrz,agent_01k0s4qchvea89jm5thv1t9mc6,0.10454045,done,60,2026-04-29 05:12:52
conv_1501kqbtcz9aexb8ex7k5ww4whvm,agent_01k0s4qchvea89jm5thv1t9mc6,0.10479595,done,58,2026-04-29 05:11:45
conv_4701kqbt7y2pf97s3h3djs3kmyc8,agent_01k0s4qchvea89jm5thv1t9mc6,0.1524964,done,101,2026-04-29 05:09:00
conv_7401kqbsqyd5fvfrkdmzdd3ph531,agent_01k0s4qchvea89jm5thv1t9mc6,0.13382075,done,74,2026-04-29 05:00:16
conv_3101kqbqq0b5fdc87gebpp07kn23,agent_01k0s4qchvea89jm5thv1t9mc6,0.1967343,done,96,2026-04-29 04:24:48
conv_0601kqbh6nfxfdqakny7av9dvk1y,agent_01k0s4qchvea89jm5thv1t9mc6,0.1289092,done,97,2026-04-29 02:31:02
conv_7801kqbgkbzffdk9208262ysm25j,agent_01k0s4qchvea89jm5thv1t9mc6,0.19211604999999998,done,104,2026-04-29 02:20:29
conv_8301kqbfwz45fmntt4rq1vrbkjxk,agent_01k0s4qchvea89jm5thv1t9mc6,0.1386861,done,86,2026-04-29 02:08:15
conv_5701kqbft1dweema6qjh93r3by80,agent_01k0s4qchvea89jm5thv1t9mc6,0.0831481,done,70,2026-04-29 02:06:39
conv_2601kqbf8az9e9atpxjrsjzarcc9,agent_01k0s4qchvea89jm5thv1t9mc6,0.2430645,done,181,2026-04-29 01:56:59
conv_9301kqbd5hhpes8r1v2gvsc7qdse,agent_01k0s4qchvea89jm5thv1t9mc6,0.3589967500000001,done,333,2026-04-29 01:20:30
conv_1501kqbd1znjfknsmjt3hkt19n0q,agent_01k0s4qchvea89jm5thv1t9mc6,0.09476075,done,95,2026-04-29 01:18:34
conv_3001kqbcf4wnfh89spgx5ktbhcjc,agent_01k0s4qchvea89jm5thv1t9mc6,0.3131135,done,156,2026-04-29 01:08:17
conv_4401kqb764vyekqsmqazrhqga64r,agent_01k0s4qchvea89jm5thv1t9mc6,0.24476165,done,114,2026-04-28 23:35:59
conv_2701kqb5qvdve4hvy0kgb8d32kcx,agent_01k0s4qchvea89jm5thv1t9mc6,0.37021915000000005,done,228,2026-04-28 23:10:42
conv_9701kqb5pqv1e3qvm8w56ss29mg9,agent_01k0s4qchvea89jm5thv1t9mc6,0.0,done,16,2026-04-28 23:10:05
conv_6001kq9j0sqwe7cbfzz5b1skh0d1,agent_01k0s4qchvea89jm5thv1t9mc6,0.3701502,done,353,2026-04-28 08:06:49
conv_2401kq9hpywef9pbpmh8kmnxyzmz,agent_01k0s4qchvea89jm5thv1t9mc6,0.6850221000000001,done,355,2026-04-28 08:01:27
conv_0601kq9f52w5fx79qv8dqgvdktn5,agent_01k0s4qchvea89jm5thv1t9mc6,0.13303045000000002,done,85,2026-04-28 07:16:44
conv_7901kq9e224degjr4t2szz6xvan6,agent_01k0s4qchvea89jm5thv1t9mc6,0.1667547,done,116,2026-04-28 06:57:36
conv_6201kq9bvckffqw9gx80eh8g67kz,agent_01k0s4qchvea89jm5thv1t9mc6,0.25537889999999996,done,117,2026-04-28 06:19:00
conv_3001kq9btpf1fmc9vvd9vfjj3xys,agent_01k0s4qchvea89jm5thv1t9mc6,0.0,done,6,2026-04-28 06:18:38
conv_6301kq94chyfe6dt10tx2dc2ypz4,agent_01k0s4qchvea89jm5thv1t9mc6,0.17623585,done,85,2026-04-28 04:08:34
conv_3001kq9086hre5vvh4v3fky1q6t4,agent_01k0s4qchvea89jm5thv1t9mc6,0.11315675000000001,done,94,2026-04-28 02:56:17
conv_3301kq903jyhezmr112kwwbgt2we,agent_01k0s4qchvea89jm5thv1t9mc6,0.14869470000000004,done,101,2026-04-28 02:53:46
conv_4801kq8z9gp9e6qa5epg05tdj4py,agent_01k0s4qchvea89jm5thv1t9mc6,0.2694909,done,135,2026-04-28 02:39:32
conv_1801kq8wbvvef9rrgtsabt15aht3,agent_01k0s4qchvea89jm5thv1t9mc6,0.81236925,done,334,2026-04-28 01:48:23
conv_9301kq8wamenfjpb669j24mc799e,agent_01k0s4qchvea89jm5thv1t9mc6,0.42239855,done,251,2026-04-28 01:47:43
conv_4001kq8vgg5xfv1an8dkvfbar51g,agent_01k0s4qchvea89jm5thv1t9mc6,0.2664809,done,141,2026-04-28 01:33:26
conv_3501kq8tdnf7exwvtyt257vb89ab,agent_01k0s4qchvea89jm5thv1t9mc6,0.3099495,done,117,2026-04-28 01:14:25
conv_8001kq8r6gdmft7bbva5nhcrae9r,agent_01k0s4qchvea89jm5thv1t9mc6,0.1357398,done,104,2026-04-28 00:35:33
conv_3101kq6ngmnnes99t4gr0j6qs5e9,agent_01k0s4qchvea89jm5thv1t9mc6,0.47390385,done,183,2026-04-27 05:10:10
conv_5601kq6nfkakebvtzg78mqjdsf3k,agent_01k0s4qchvea89jm5thv1t9mc6,0.0,done,13,2026-04-27 05:09:36
conv_3101kq6d90b1e4gvspqam5vvfdvq,agent_01k0s4qchvea89jm5thv1t9mc6,0.3294389,done,248,2026-04-27 02:46:12
conv_3301kq6b2w03evevasms1dx3fx69,agent_01k0s4qchvea89jm5thv1t9mc6,0.0,done,9,2026-04-27 02:07:54
conv_5701kqnzycaye589xee9fj8t619c,agent_9001kgp5q4dyetxvh6aadtjryme8,0.0,done,7,2026-05-03 04:01:03
conv_9601kqnvg8qge5qspjedg1q88q3s,agent_9001kgp5q4dyetxvh6aadtjryme8,0.197015,done,97,2026-05-03 02:43:26
conv_0001kqkdz45pfgt9z8tev4khzx1s,agent_9001kgp5q4dyetxvh6aadtjryme8,0.0,done,6,2026-05-02 04:08:24
conv_2901kqcaw3r4fabrzn5q2x56jywd,agent_9001kgp5q4dyetxvh6aadtjryme8,0.2104585,done,85,2026-04-29 09:59:39
conv_4401kqdw257met5stqavjw7vcc79,agent_9101ke69d2nsehxvves0kdpd98pb,0.1303029,done,274,2026-04-30 00:19:19
conv_3401kqdhfnbpephat81118ksmz2n,agent_9101ke69d2nsehxvves0kdpd98pb,0.0145495,done,66,2026-04-29 21:14:28
conv_7801kqbjg6ndf21vz9za7k34n388,agent_9101ke69d2nsehxvves0kdpd98pb,0.11603655,done,233,2026-04-29 02:54:10
conv_1301kqbjdq7jftms80qv43835mnh,agent_9101ke69d2nsehxvves0kdpd98pb,,initiated,0,2026-04-29 02:52:21
conv_2601kq959z5pfa38se72ef10veda,agent_7901kn7585h5f6xbs427arqqsg7x,0.0,done,4,2026-04-28 04:24:38
conv_6801kq9586b6fw885pjg3ftapshw,agent_7901kn7585h5f6xbs427arqqsg7x,0.0,done,3,2026-04-28 04:23:40
