From,Status,Price,Date Created
+61439346193,Completed,-0.06,2026-06-24T06:35:30.000Z
+61876660507,Completed,-0.0504,2026-06-24T06:28:44.000Z
+61434701700,Completed,-0.06,2026-06-24T06:25:32.000Z
+61876660507,Completed,-0.0504,2026-06-24T05:37:57.000Z
+61416653740,Completed,-0.03,2026-06-24T05:36:34.000Z
+61411334499,Completed,-0.06,2026-06-24T05:25:55.000Z
+61411334499,Completed,-0.04,2026-06-24T03:32:52.000Z
+61476252783,Completed,-0.05,2026-06-24T03:05:08.000Z
+61476252783,Completed,-0.01,2026-06-24T03:03:34.000Z
+61431834580,Completed,-0.01,2026-06-24T02:55:34.000Z
+61451159495,Completed,-0.04,2026-06-24T02:27:14.000Z
+61414846451,Completed,-0.05,2026-06-24T01:41:59.000Z
+61876660507,Completed,-0.126,2026-06-24T00:46:17.000Z
+61740553933,Completed,-0.08,2026-06-24T00:43:42.000Z
+61876660507,Completed,-0.1764,2026-06-23T08:11:26.000Z
+61423873312,Completed,-0.1,2026-06-23T08:08:38.000Z
+61876660507,Completed,-0.2772,2026-06-23T07:21:30.000Z
+61451897500,Completed,-0.14,2026-06-23T07:19:05.000Z
+61876660507,Completed,-0.0756,2026-06-23T06:31:56.000Z
+61408355407,Completed,-0.06,2026-06-23T06:29:20.000Z
+61876660507,Completed,-0.0504,2026-06-23T05:53:21.000Z
+61418845455,Completed,-0.03,2026-06-23T05:52:07.000Z
+61876660507,Completed,-0.0504,2026-06-23T05:50:18.000Z
+61418845455,Completed,-0.03,2026-06-23T05:49:06.000Z
+61878133502,Completed,-0.0504,2026-06-23T05:14:06.000Z
+61402791074,Completed,-0.03,2026-06-23T05:12:33.000Z
+61419819299,Completed,-0.04,2026-06-23T03:14:48.000Z
+61408521721,Completed,-0.01,2026-06-23T02:57:19.000Z
+61411870008,Completed,-0.02,2026-06-23T02:35:47.000Z
+61408521721,Completed,-0.02,2026-06-23T02:33:17.000Z
+61408521721,Completed,-0.01,2026-06-23T02:30:48.000Z
+61876660507,Completed,-0.0252,2026-06-23T02:17:46.000Z
+61891039777,Completed,-0.03,2026-06-23T02:15:35.000Z
+61876660507,Completed,-0.0504,2026-06-23T01:54:30.000Z
+61733961191,Completed,-0.03,2026-06-23T01:53:24.000Z
+61875628058,Failed,0.0,2026-06-22T18:45:06.000Z
+61876660507,Completed,-0.126,2026-06-22T08:10:16.000Z
anonymous,Completed,-0.07,2026-06-22T08:08:25.000Z
+61876660507,Completed,-0.0252,2026-06-22T08:05:32.000Z
+61428937084,Completed,-0.05,2026-06-22T08:01:46.000Z
+61411887355,Completed,-0.01,2026-06-22T07:10:17.000Z
+61876660507,Completed,-0.0504,2026-06-22T07:07:39.000Z
+61414727843,Completed,-0.04,2026-06-22T07:05:39.000Z
+61451830433,Completed,-0.01,2026-06-22T06:40:40.000Z
+61876660507,Completed,-0.252,2026-06-22T06:24:06.000Z
+61424539211,Completed,-0.11,2026-06-22T06:22:42.000Z
+61414727843,Completed,-0.01,2026-06-22T06:06:27.000Z
+61876660507,Completed,-0.1008,2026-06-22T05:42:17.000Z
+61422380517,Completed,-0.06,2026-06-22T05:40:03.000Z
+61876660507,Completed,-0.2016,2026-06-22T05:26:26.000Z
+61490492623,Completed,-0.1,2026-06-22T05:24:39.000Z
+61424361004,Completed,-0.03,2026-06-22T04:26:04.000Z
+61876660507,Completed,-0.075,2026-06-22T04:25:01.000Z
+61863232954,Completed,-0.03,2026-06-22T04:23:00.000Z
+61876660507,Completed,-0.0504,2026-06-22T04:15:46.000Z
+61422877109,Completed,-0.04,2026-06-22T04:14:05.000Z
+61452029602,Completed,-0.02,2026-06-22T04:06:46.000Z
+61875628058,Completed,-0.0504,2026-06-22T03:53:06.000Z
+61875628058,Completed,-0.0504,2026-06-22T03:49:35.000Z
+61876660507,Completed,-0.1008,2026-06-22T03:14:34.000Z
+61403825582,Completed,-0.05,2026-06-22T03:13:04.000Z
+61876660507,Completed,-0.0756,2026-06-22T02:53:12.000Z
+61899271322,Completed,-0.05,2026-06-22T02:51:20.000Z
+61754498055,Completed,-0.01,2026-06-22T02:39:14.000Z
+61422590377,Completed,-0.01,2026-06-22T02:11:18.000Z
+61876660507,Completed,-0.0252,2026-06-22T01:54:21.000Z
+61488553109,Completed,-0.02,2026-06-22T01:53:17.000Z
+61876660507,Completed,-0.0504,2026-06-22T01:42:20.000Z
